Time,1818_time: AA[mBar],1818_time: DD Retning[°],1818_time: DX_l[°],1818_time: FF Hastighet[m/s],1818_time: FG_l[m/s],1818_time: FG_tid_l[N/A],1818_time: FX Kast[m/s],1818_time: FX_tid_l[N/A],1818_time: PO Trykk stasjonshøyde[mBar],1818_time: PP[mBar],1818_time: PR Trykk redusert til havnivå[mBar],1818_time: QLI Langbølget[W/m2],1818_time: QNH[mBar],1818_time: QSI Kortbølget[W/m2],1818_time: RR_1[mm],1818_time: TA Middel[°C],1818_time: TA_a_Max[°C],1818_time: TA_a_Min[°C],1818_time: UU Luftfuktighet[%RH]
2025-03-12 16:00:00,6.0,218.0,151.0,1.4,4.1,1519.0,2.1,1526.0,994.5,0.4,1002.9,268.35,1002.7,277.232,0.0,4.5,5.0,3.8,47.0
2025-03-12 17:00:00,7.0,108.0,192.0,1.0,3.2,1638.0,1.8,1639.0,994.3,0.3,1002.8,289.526,1002.5,114.83,0.0,3.2,4.5,3.2,59.0
2025-03-12 18:00:00,5.0,1.0,144.0,0.4,1.8,1708.0,1.0,1704.0,994.6,0.1,1003.1,274.833,1002.8,27.545,0.0,2.0,3.2,1.8,72.0
2025-03-12 19:00:00,3.0,282.0,282.0,0.8,1.7,1859.0,0.8,1900.0,995.0,0.4,1003.5,310.281,1003.1,-6.867,0.0,1.8,2.0,1.8,78.0
2025-03-12 20:00:00,2.0,280.0,170.0,0.5,3.7,1938.0,2.0,1946.0,995.2,0.8,1003.8,319.819,1003.3,-9.887,0.1,0.7,1.8,0.7,90.0
2025-03-12 21:00:00,0.0,313.0,313.0,0.6,1.1,2025.0,0.6,2100.0,995.2,0.6,1003.8,336.131,1003.4,-11.299,0.0,0.3,0.7,0.3,93.0
2025-03-12 22:00:00,0.0,322.0,16.0,0.6,1.2,2141.0,0.7,2149.0,995.2,0.3,1003.8,333.209,1003.4,-11.463,0.0,-0.4,0.3,-0.5,95.0
2025-03-12 23:00:00,4.0,92.0,315.0,0.5,2.1,2218.0,1.0,2210.0,995.0,0.1,1003.6,333.363,1003.2,-10.727,0.0,-0.4,-0.1,-0.4,94.0
2025-03-13 00:00:00,7.0,319.0,288.0,0.3,1.4,2311.0,0.7,2318.0,994.8,0.4,1003.4,334.048,1003.0,-11.221,0.0,-0.6,-0.2,-0.6,95.0
2025-03-13 01:00:00,7.0,210.0,223.0,1.1,3.9,56.0,1.2,46.0,994.5,0.7,1003.1,335.624,1002.7,-10.36,0.0,0.0,0.1,-0.6,94.0
2025-03-13 02:00:00,7.0,272.0,195.0,1.4,4.0,103.0,1.6,105.0,994.3,0.8,1002.9,336.128,1002.4,-11.756,0.0,0.1,0.1,-0.1,91.0
2025-03-13 03:00:00,8.0,207.0,207.0,1.9,4.0,300.0,1.9,300.0,993.4,1.3,1002.0,333.374,1001.6,-9.192,0.0,-0.1,0.1,-0.2,94.0
2025-03-13 04:00:00,6.0,7.0,173.0,0.9,6.5,317.0,3.6,326.0,993.4,1.2,1002.0,329.9,1001.5,-10.647,0.0,-0.4,0.0,-0.4,94.0
2025-03-13 05:00:00,6.0,0.0,21.0,0.5,1.5,414.0,0.9,402.0,993.1,1.1,1001.7,326.179,1001.3,-14.263,0.0,-0.4,-0.3,-0.5,95.0
2025-03-13 06:00:00,7.0,20.0,339.0,0.3,1.0,559.0,0.5,504.0,993.1,0.4,1001.7,335.326,1001.3,-11.236,0.0,-0.6,-0.3,-0.6,95.0
2025-03-13 07:00:00,7.0,316.0,351.0,0.5,1.3,644.0,0.6,607.0,993.2,0.1,1001.8,337.701,1001.4,-10.834,0.0,-0.5,-0.4,-0.6,95.0
2025-03-13 08:00:00,3.0,320.0,36.0,0.8,2.6,751.0,1.1,757.0,993.7,0.5,1002.3,337.935,1001.8,-1.167,0.0,-0.3,-0.2,-0.5,95.0
2025-03-13 09:00:00,2.0,87.0,53.0,0.8,2.0,857.0,0.9,811.0,993.7,0.6,1002.2,350.48,1001.9,138.634,0.1,2.2,3.0,-0.5,84.0
2025-03-13 10:00:00,1.0,96.0,88.0,1.1,3.1,959.0,1.5,925.0,993.9,0.7,1002.4,304.71,1002.0,255.973,3.4,2.9,2.9,1.5,82.0
2025-03-13 11:00:00,2.0,111.0,77.0,1.5,4.0,1026.0,2.0,1029.0,994.0,0.3,1002.5,265.365,1002.1,325.263,0.6,3.0,3.1,1.6,80.0
2025-03-13 12:00:00,2.0,119.0,74.0,1.2,2.9,1107.0,1.6,1123.0,994.1,0.4,1002.6,296.473,1002.2,258.537,0.1,2.5,3.3,1.8,81.0
2025-03-13 13:00:00,2.0,149.0,151.0,1.0,2.3,1201.0,1.3,1209.0,994.0,0.2,1002.5,338.563,1002.2,177.247,0.1,2.3,2.5,1.7,84.0
2025-03-13 14:00:00,4.0,168.0,145.0,0.8,1.9,1326.0,1.0,1333.0,993.9,0.1,1002.4,348.275,1002.1,237.736,0.0,2.3,2.3,1.8,85.0
2025-03-13 15:00:00,7.0,178.0,200.0,1.4,3.7,1430.0,2.3,1425.0,993.7,0.4,1002.2,318.704,1001.8,205.571,0.0,2.9,2.9,2.2,85.0
2025-03-13 16:00:00,7.0,207.0,199.0,2.2,4.2,1538.0,2.5,1546.0,993.7,0.3,1002.2,299.909,1001.9,188.473,0.0,2.7,3.6,2.7,78.0
